Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
"Oak kitchen cabinets with dishwasher and sink in Kersey, CO",,Oak kitchen cabinets with dishwasher and sink,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Oak kitchen cabinets with dishwasher and sink in Kersey, CO",,,,,600.00,,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/576603674_1599887211420744_1557148955390329021_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=X55D4yWm4z8Q7kNvwHz3-aF&_nc_oc=AdmoPp9gqB0NbdXz5H-ifkZC8lts4TFuEd0QSaqPfYHbu6dPqIPKlJ16m0y_6kiV8un6nRHIZ0Z946aLR9NI8R7Y&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_Afi3xB6GrmpNhuSJ4T-Dl7msNWG6lsxW9XY4p6u1xa3CZg&oe=690EB3C3,1,"Oak kitchen cabinets with dishwasher and sink in Kersey, CO",,FALSE,"Oak kitchen cabinets with dishwasher and sink in Kersey, CO",Oak kitchen cabinets with dishwasher and sink,,,,,,,used,,"Kersey, CO",,,,
"Complete home table and chairs set. Dining and living rooms in Kersey, CO",,Complete home table and chairs set. Dining and living rooms,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Complete home table and chairs set. Dining and living rooms in Kersey, CO",,,,,300.00,450.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/576505270_1516161506098127_4545508596896168403_n.jpg?stp=c90.0.540.540a_dst-jpg_p180x540_tt6&_nc_cat=108&ccb=1-7&_nc_sid=92e707&_nc_ohc=Dz4XsptMsu8Q7kNvwELKnVc&_nc_oc=Adl0qk6oJ2uPzEW0e6rgoT5tUrkyWIkv1LtN_T-TqWBpjKPBAqEJ1LjXo_ucHWRBBAKeYOWraPNlMvv1dAPEHJxN&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfgiCJJ7lzNkW2swnfwb_rJ_g5Nk7ZZKLgu-EWBDr3Mm1Q&oe=690EC153,1,"Complete home table and chairs set. Dining and living rooms in Kersey, CO",,FALSE,"Complete home table and chairs set. Dining and living rooms in Kersey, CO",Complete home table and chairs set. Dining and living rooms,,,,,,,used,,"Kersey, CO",,,,
"Camro glassware racks in Briggsdale, Colorado",,Camro glassware racks,Facebook Marketplace,,,"marketplace, Briggsdale, Colorado",TRUE,active,,,Title,"Camro glassware racks in Briggsdale, Colorado",,,,,20.00,,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/575106801_756963190696423_4581260606670740369_n.jpg?stp=c0.322.526.526a_dst-jpg_p526x395_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=s5K7qEh1d9sQ7kNvwH9kR5O&_nc_oc=AdlQSRejKSe-r7ouEWBu-iQ3qeQ5Ue8gcZL3i5ozWxK3Hoh1dNHso3u9VwBCgeaHw7G-OKdBfWT2SL6DrkiFlaCS&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfjDpCSggO97tt_lq4sB77cHIZsN8b8YMunKdRYOnDiM_A&oe=690EA103,1,"Camro glassware racks in Briggsdale, Colorado",,FALSE,"Camro glassware racks in Briggsdale, Colorado",Camro glassware racks,,,,,,,used,,"Briggsdale, Colorado",,,,
"Queen mattress and box spring in Briggsdale, Colorado",,Queen mattress and box spring,Facebook Marketplace,,,"marketplace, Briggsdale, Colorado",TRUE,active,,,Title,"Queen mattress and box spring in Briggsdale, Colorado",,,,,100.00,,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/574354957_1403195174561097_6989110619792468098_n.jpg?stp=c0.86.526.526a_dst-jpg_p526x395_tt6&_nc_cat=106&ccb=1-7&_nc_sid=92e707&_nc_ohc=aRBfW96ILu4Q7kNvwGrU9oH&_nc_oc=AdkO3yNJRXR1JwBo5VthT3vh7w14hbHbwZEjfvjOWJo-Ay73vF0moCbsKLCRx_DI5rj9SSv0z5E5bKe8-CiJauPv&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfjoILUIEoemnc5Bnmt1dSWYlv6n2xeTXjozO6nUlcAHkg&oe=690EB73F,1,"Queen mattress and box spring in Briggsdale, Colorado",,FALSE,"Queen mattress and box spring in Briggsdale, Colorado",Queen mattress and box spring,,,,,,,used,,"Briggsdale, Colorado",,,,
"Couch and recliner set in Kersey, CO",,Couch and recliner set,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Couch and recliner set in Kersey, CO",,,,,150.00,250.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/572997703_693945533762930_1313857166077923704_n.jpg?stp=c90.0.540.540a_dst-jpg_p180x540_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=wMIFwjqugLkQ7kNvwGzyswR&_nc_oc=AdnhZNvEfb-asIyJNSaw7CT-XQUoq6qIYb3SzmA4_7s_cZaxcQ0coFx9AktSUFIKPz0aFZrRC8i0eg9dXhbZBpwf&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfiWuoYUdq8mpovt0C9aM4n692mZcOx7nccg5JaZBlScOg&oe=690EBC26,1,"Couch and recliner set in Kersey, CO",,FALSE,"Couch and recliner set in Kersey, CO",Couch and recliner set,,,,,,,used,,"Kersey, CO",,,,
"Bosch 30"" electric double oven in Kersey, CO",,"Bosch 30"" electric double oven",Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Bosch 30"" electric double oven in Kersey, CO",,,,,300.00,600.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/572095092_1558575675298744_1931010886745223575_n.jpg?stp=c0.322.526.526a_dst-jpg_p526x395_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=NKfe8aV8GiYQ7kNvwHjhvQ1&_nc_oc=AdmX-cI0VGjtDJOI8BBq4oYTaj4YvicH2DWV79sqpflTZEdNh8eQzyXckR5O_BO65MgG10YhjYW92pumYfEokNNQ&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfgDJu-snOyWDAvh5dymAbJ4sTWmuM_fx8UQrmfJl3dvAA&oe=690E982E,1,"Bosch 30"" electric double oven in Kersey, CO",,FALSE,"Bosch 30"" electric double oven in Kersey, CO","Bosch 30"" electric double oven",,,,,,,used,,"Kersey, CO",,,,
"Used white kitchen cabinets. in Kersey, CO",,Used white kitchen cabinets.,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Used white kitchen cabinets. in Kersey, CO",,,,,2900.00,4000.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/571436233_1308169287704953_753024665009012339_n.jpg?stp=c0.322.526.526a_dst-jpg_p526x395_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=pZaaVj9ycPoQ7kNvwEzlIHD&_nc_oc=AdmOiqEKeUILZISQnL9pW3LNNfnM24uAvg7KrsvMTTvPzmFL5zhj7akmCOrh2IDXNe-FGpiP-Nzx_qfUmLKXXkxb&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfgD3A-XgiyTz7YDsPn7MhY2ckB2GTxPapDCLrszThIhOQ&oe=690EA2DC,1,"Used white kitchen cabinets. in Kersey, CO",,FALSE,"Used white kitchen cabinets. in Kersey, CO",Used white kitchen cabinets.,,,,,,,used,,"Kersey, CO",,,,
"Grey and white kitchen cabinets in Kersey, CO",,Grey and white kitchen cabinets,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Grey and white kitchen cabinets in Kersey, CO",,,,,600.00,800.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/571356306_1120961639773360_4215650645777035907_n.jpg?stp=c0.86.526.526a_dst-jpg_p526x395_tt6&_nc_cat=101&ccb=1-7&_nc_sid=92e707&_nc_ohc=Cm9pnMl1I2AQ7kNvwGC2zl-&_nc_oc=AdkFOPpo9WvSPQJLLlCsNP_-6x1KtNWT7AozqGBN06kuW8hYUYJJadZwwmkdO1t-JUFH4sgcOAFe4vkvaKIJBhOW&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfiGI_mCvBTQ-wjnhu8klEmpGdYV0GvAzwqR-XDVOXqZ-g&oe=690EA92C,1,"Grey and white kitchen cabinets in Kersey, CO",,FALSE,"Grey and white kitchen cabinets in Kersey, CO",Grey and white kitchen cabinets,,,,,,,used,,"Kersey, CO",,,,
"Black Copacabana granite / quartz table or countertop. in Kersey, CO",,Black Copacabana granite / quartz table or countertop.,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Black Copacabana granite / quartz table or countertop. in Kersey, CO",,,,,900.00,2400.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/571150451_1880326802522836_3816456036219021557_n.jpg?stp=c0.249.526.526a_dst-jpg_p526x395_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=VQ_mrC_Ib0wQ7kNvwGSGhF_&_nc_oc=AdkPszItmYYDxC4Jf4lSgk9fpkQObQ3-LriJvbNSyZRWd_4LwfbTc0w1tshtA_Blodr0aF_duRjxFsMbBnwEsC6s&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfgMPDRqMjlKQdDp_DZWY2meJIogh8z6PLPcP-5Nqx7r8g&oe=690EB227,1,"Black Copacabana granite / quartz table or countertop. in Kersey, CO",,FALSE,"Black Copacabana granite / quartz table or countertop. in Kersey, CO",Black Copacabana granite / quartz table or countertop.,,,,,,,used,,"Kersey, CO",,,,
"Sub zero French door fridge & freezer in Kersey, CO",,Sub zero French door fridge & freezer,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Sub zero French door fridge & freezer in Kersey, CO",,,,,600.00,,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/571425667_1140025484861229_6714564190651112267_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=4KGVuzOyCNcQ7kNvwGQXOeb&_nc_oc=Admc00NEuKpRkR2GX9h8uTRdAN_IOEJoCyzYXIJ3RxjqGN3Tk0VVXfyJMjsNSE83Mt02ZJXzvqKfb4Go4Wm9rlno&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfidFdEydCyGgD0HpklrTaxxyICvzU0Hwsiklcxelrn-3w&oe=690EB12E,1,"Sub zero French door fridge & freezer in Kersey, CO",,FALSE,"Sub zero French door fridge & freezer in Kersey, CO",Sub zero French door fridge & freezer,,,,,,,used,,"Kersey, CO",,,,
"Grey kitchen cabinets in Kersey, CO",,Grey kitchen cabinets,Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Grey kitchen cabinets in Kersey, CO",,,,,600.00,900.00,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/571357588_1806920710216064_8800203996886446185_n.jpg?stp=c88.0.540.540a_dst-jpg_p180x540_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=zlsZp9AS-50Q7kNvwEqTorl&_nc_oc=AdnCb3Cfe9zFXuVk5Oy5WfR0iSRrH7TrIl6GWGe-eX20gAoLXicifAizu3dPvMPlg3s9314gKeMFH859AT63XwwV&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfiIuRKq4hdgW6vWHO1KygTnAohHA-km1yfTpIcvXcuRNw&oe=690EC9B1,1,"Grey kitchen cabinets in Kersey, CO",,FALSE,"Grey kitchen cabinets in Kersey, CO",Grey kitchen cabinets,,,,,,,used,,"Kersey, CO",,,,
"Bathroom single sink vanities, pedestal sinks in Kersey, CO",,"Bathroom single sink vanities, pedestal sinks",Facebook Marketplace,,,"marketplace, Kersey, CO",TRUE,active,,,Title,"Bathroom single sink vanities, pedestal sinks in Kersey, CO",,,,,50.00,,,FALSE,,,,,,,1,TRUE,0,kg,TRUE,manual,https://scontent-den2-1.xx.fbcdn.net/v/t39.84726-6/574089074_1372781541303285_4996355656030311541_n.jpg?stp=c0.322.526.526a_dst-jpg_p526x395_tt6&_nc_cat=104&ccb=1-7&_nc_sid=92e707&_nc_ohc=0UfSSjhBJvgQ7kNvwEPkCHM&_nc_oc=AdnbP-chZJV494i99kCaEdbQcwE3xWlB2oVbLJIDytKtfa8NZ9PysFfoKH2rxmgSpu1YoAN5ou2PsmRmvQ6xYQVw&_nc_zt=14&_nc_ht=scontent-den2-1.xx&_nc_gid=MB4NUlqYv0FnR9ZKJg1IKw&oh=00_AfjFSEKDWNv48B_okjwV5Y-i8HsI9ceXb83YyJK7tBkuIA&oe=690EA10E,1,"Bathroom single sink vanities, pedestal sinks in Kersey, CO",,FALSE,"Bathroom single sink vanities, pedestal sinks in Kersey, CO","Bathroom single sink vanities, pedestal sinks",,,,,,,used,,"Kersey, CO",,,,
